45.84.88.204:8443#FR [148.21ms]
84.247.173.29:443#FR [150.22ms]
132.243.204.204:8443#FR [150.31ms]
132.243.204.161:8443#FR [150.81ms]
31.56.146.206:2053#FR [151.34ms]
45.39.255.27:8443#FR [151.66ms]
132.243.204.142:8443#FR [152.02ms]
176.124.204.49:443#GB [138.72ms]
77.221.155.76:443#GB [144.88ms]
138.124.101.67:443#GB [145.12ms]
5.182.87.170:443#GB [146.68ms]
57.129.137.87:8443#GB [150.27ms]
138.124.90.126:443#GB [150.54ms]
95.181.175.209:8443#GB [151.64ms]
147.45.69.229:443#GB [153.8ms]
212.113.106.4:443#GB [155.84ms]
18.134.196.127:443#GB [157.46ms]
151.236.29.97:443#GR [175.64ms]
38.54.29.210:2053#GR [1187.39ms]
91.250.248.151:443#GR [1288.86ms]
47.76.218.163:443#HK [42.85ms]
45.147.26.52:8443#HK [优选高速 44.58ms]
47.83.14.42:8443#HK [45.61ms]
45.136.14.61:2053#HK [48.34ms]
185.243.240.111:443#HK [48.45ms]
149.104.4.249:2053#HK [49.35ms]
47.243.183.61:443#HK [50.81ms]
45.135.119.123:443#HK [优选高速 55.15ms]
38.190.210.250:443#HK [58.69ms]
103.224.80.7:2087#HK [65.26ms]
5.181.2.248:8443#HR [163.34ms]
5.181.2.78:8443#HR [212.64ms]
5.181.2.41:8443#HR [1180.38ms]
5.181.2.41:443#HR [1224.04ms]
77.91.72.13:443#HU [164.57ms]
38.180.225.181:443#HU [168.52ms]
91.219.237.49:443#HU [207.69ms]
38.180.225.166:443#HU [213.42ms]
180.149.37.38:8443#HU [256.84ms]
43.218.77.16:443#ID [97.8ms]
172.232.226.233:443#ID [294.92ms]
156.244.1.250:8443#ID [297.28ms]
34.250.168.254:443#IE [192.13ms]
63.32.194.15:8443#IE [220.42ms]
34.240.243.226:443#IE [263.61ms]
54.229.164.147:8443#IE [263.82ms]
23.95.225.10:2053#IE [361.69ms]
63.32.194.15:2053#IE [1193.42ms]
94.131.114.70:443#IL [201.5ms]
185.239.48.55:8443#IL [203.98ms]
94.131.114.83:443#IL [217.22ms]
94.131.114.73:443#IL [235.4ms]
45.144.172.33:443#IL [246.21ms]
185.239.48.252:443#IL [252.54ms]
77.91.69.141:8443#IL [294.55ms]
80.178.58.56:443#IL [299.26ms]
4.240.110.47:443#IN [131.28ms]
45.89.105.65:2053#IN [172.01ms]
103.181.177.88:443#IN [174.0ms]
45.89.105.211:443#IN [191.4ms]
129.154.251.13:443#IN [199.54ms]
45.83.21.111:8443#IS [233.45ms]
89.147.109.212:443#IS [288.76ms]
194.247.182.120:8443#IS [306.25ms]
185.247.226.138:443#IS [1279.62ms]
45.92.70.176:8443#IT [143.71ms]
172.238.238.203:2053#IT [177.39ms]
132.243.205.87:8443#IT [222.34ms]
132.243.205.75:8443#IT [228.76ms]
113.30.151.151:8443#IT [246.67ms]
185.47.172.172:8443#IT [273.43ms]
151.241.215.148:443#IT [1178.72ms]
83.229.6.134:443#IT [1238.78ms]
35.79.146.187:443#JP [优选高速 46.0ms]
47.242.28.106:443#JP [53.08ms]
8.216.6.167:443#JP [优选高速 53.44ms]
54.238.157.207:443#JP [优选高速 65.02ms]
45.143.233.162:8443#JP [优选高速 69.06ms]
216.23.86.62:2053#JP [优选高速 72.55ms]
23.151.104.198:443#JP [优选高速 72.89ms]
154.31.117.245:443#JP [优选高速 82.12ms]
45.89.232.111:8443#JP [优选高速 88.5ms]
103.201.130.54:8443#JP [优选高速 89.02ms]
5.144.180.142:443#KG [1278.16ms]
168.107.13.136:8443#KR [优选高速 69.44ms]
129.154.50.159:443#KR [76.45ms]
151.245.106.81:443#KR [238.98ms]
64.110.75.145:443#KR [294.02ms]
130.162.132.38:443#KR [301.75ms]
131.186.27.112:2096#KR [303.21ms]
64.176.226.26:8443#KR [307.21ms]
43.200.87.5:443#KR [优选高速 1088.73ms]
158.247.246.18:443#KR [1288.07ms]
130.162.130.105:443#KR [1322.03ms]
195.210.47.233:8443#KZ [183.92ms]
104.238.24.99:443#KZ [190.04ms]
185.5.74.156:443#KZ [190.65ms]
104.238.24.139:8443#KZ [194.89ms]
45.80.208.246:443#KZ [194.95ms]
185.5.74.38:443#KZ [195.33ms]
176.12.79.0:443#KZ [196.18ms]
82.41.30.167:443#KZ [198.37ms]
91.201.214.192:443#KZ [202.88ms]
5.39.253.198:8443#KZ [205.18ms]
46.29.234.91:8443#LT [177.6ms]
195.238.126.11:443#LT [191.49ms]
130.12.171.173:443#LT [206.72ms]
185.80.129.84:443#LT [215.46ms]
103.231.72.6:2053#LT [260.93ms]
103.231.72.240:443#LT [267.77ms]
103.231.72.4:443#LT [268.9ms]
103.113.69.63:443#LT [272.1ms]
89.40.4.81:443#LT [288.17ms]
94.176.232.227:443#LT [305.41ms]
213.21.222.70:8443#LV [166.53ms]
103.231.73.184:8443#LV [218.55ms]
45.142.215.61:443#LV [222.8ms]
194.8.6.59:443#LV [234.08ms]
103.231.73.153:443#LV [234.56ms]
188.64.142.13:443#LV [242.96ms]
45.43.79.231:443#LV [244.08ms]
185.82.127.6:2053#LV [244.44ms]
5.34.212.114:443#LV [246.98ms]
188.253.20.74:8443#LV [249.52ms]
217.156.65.142:443#MD [198.38ms]
91.208.206.179:8443#MD [208.78ms]
91.208.184.71:8443#MD [212.04ms]
176.123.2.196:443#MD [242.33ms]
45.67.229.8:443#MD [249.73ms]
194.58.45.120:2053#MD [249.8ms]
176.123.1.97:443#MD [259.0ms]
91.208.206.103:443#MD [260.73ms]
176.123.1.204:443#MD [262.69ms]
193.36.38.17:443#MD [284.55ms]
46.183.185.142:443#MK [200.58ms]
89.185.82.90:8443#MK [302.32ms]
89.185.82.124:8443#MK [302.55ms]
45.202.246.172:443#MO [203.83ms]
131.196.254.203:443#MX [296.4ms]
216.238.82.140:8443#MX [297.66ms]
216.238.88.154:8443#MX [300.01ms]
216.238.79.83:8443#MX [302.46ms]
131.196.254.151:443#MX [317.14ms]
131.196.254.211:443#MX [329.89ms]
131.196.254.84:443#MX [335.71ms]
45.170.244.62:443#MX [387.25ms]
131.196.253.141:443#MX [403.77ms]
23.27.28.216:8443#MY [优选高速 90.29ms]
202.61.75.46:443#MY [优选高速 136.06ms]
144.31.233.89:443#NL [132.16ms]
62.60.247.50:443#NL [138.78ms]
45.154.35.142:443#NL [139.58ms]
45.143.167.72:8443#NL [142.23ms]
89.42.142.219:443#NL [143.08ms]
